ID,Sentence,Micaela,Shantina,Danyi,Gold
006_3490-3639,"As a Taliban spokesman put it bluntly: ""Our objective is to force the foreigners to flee Kabul. Before, the foreigners were visible in the provinces.",FACT-TESTIMONY,FACT-TESTIMONY,None,FACT-TESTIMONY
006_3640-3751,"Now that they have limited more of their activities to Kabul, we have also gone to Kabul to target them there.""",FACT-TESTIMONY,FACT-TESTIMONY,None,FACT-TESTIMONY
006_3752-3784,"To some extent, this has worked.",ASSERTION,ASSERTION,None,ASSERTION
006_3785-3863,"Many aid agencies have pulled out their staff, and restricted their movements.",ASSERTION,ASSERTION,None,ASSERTION
006_3867-3888,Tarnished credibility,NON-ARGUMENT,NON-ARGUMENT,None,NON-ARGUMENT
006_3892-4059,"Second, the insurgents failed to seriously disrupt either round of this year's Afghan elections, as they had vowed to do, leaving their credibility somewhat tarnished.",ASSERTION,ASSERTION,None,ASSERTION
006_4060-4178,"Prominent attacks - publicised with videos - redress this issue, and project strength at the end of a fighting season.",ASSERTION,ASSERTION,None,ASSERTION
006_4179-4325,They might also be ways of strengthening the insurgency's bargaining position in advance of any peace talks that gain momentum over the next year.,ASSERTION,ASSERTION,None,ASSERTION
006_4329-4448,"Third, the insurgency is not a monolith, and different parts of the Taliban might be responsible for different attacks.",ASSERTION,ASSERTION,None,ASSERTION
006_4449-4606,"The Haqqani Network, a semi- autonomous group with close ties to Pakistani intelligence, has proven most effective at projecting suicide bombings into Kabul.",FACT-TESTIMONY,ASSERTION,None,ASSERTION
006_4607-4750,"The Haqqanis were blamed for the most deadly atrocity of the past month, the bombing of a volleyball game in which over 50 Afghans were killed.",FACT-TESTIMONY,ASSERTION,None,ASSERTION
006_4751-4969,"In the past, moves towards dialogue between the Afghan government and the Taliban have been met with carefully targeted attacks intended less to strengthen bargaining positions than to disrupt such talks altogether.",FACT-TESTIMONY,ASSERTION,None,ASSERTION
006_4970-5039,"Whatever the explanation, Afghanistan faces an extremely test period.",ASSERTION,ASSERTION,None,ASSERTION
006_5040-5158,"Although the presence of US forces provides a safety net throughout next year, things look more precarious after that.",ASSERTION,ASSERTION,None,ASSERTION
006_5159-5330,"International funding commitments for Afghanistan currently run to 2017, but that timeline had assumed the insurgency would lose steam by then, allowing ANSF to slim down.",FACT-TESTIMONY,ASSERTION,None,ASSERTION
006_5331-5426,"If that isn't possible, the annual $4-6bn bill for the security forces is simply unsustainable.",ASSERTION,ASSERTION,None,ASSERTION
006_5430-5605,"This week's London Conference is an opportunity to secure much greater contributions from regional powers, who have the most at stake if Afghanistan does fall apart once more.",ASSERTION,ASSERTION,None,ASSERTION
006_5606-5736,"China is, for instance, one of the world's largest economies, a direct neighbour of Afghanistan, and a significant investor there.",FACT-TESTIMONY,ASSERTION,None,FACT-TESTIMONY
006_5737-6094,"But if Beijing is unwilling to offer more than a meagre $327m - nearly half the amount Iran pledged in 2012, and far less than Japan or the EU - then how are western governments, with their attention directed to threats from Russia and ISIL, supposed to persuade their own public that, after a decade of war, Afghanistan must stay on financial life-support?",RH-QUESTION,RH-QUESTION,None,RH-QUESTION
007_0-267,"The London Conference on Afghanistan will provide an opportunity for the government of Afghanistan to set out its commitment to reform, states the UK government's official webpage of the upcoming meeting between the new Afghan government and its international donors.",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
007_268-429,"The conference is also an opportunity for the international community ""to reaffirm its long-term commitment to supporting Afghanistan's peaceful development"".",FACT-TESTIMONY,ASSERTION,FACT-TESTIMONY,FACT-TESTIMONY
007_430-577,"Despite the media hype, the London Conference is nothing more than a routine reunion, set by the 2012 Tokyo Mutual Accountability Framework (TMAF).",ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_578-703,"As part of the agreement, donors pledged support and the Afghan government promised to implement reforms and curb corruption.",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
007_704-947,"The upcoming meeting in the British capital, therefore, is the first in a series of exchanges that will be held every two years, at the ministerial level, between the Afghan and donor governments to assess progress and check TMAF's benchmarks.",ASSERTION,FACT-TESTIMONY,ASSERTION,ASSERTION
007_951-1174,"Still, the December 4 conference has the potential to ease Afghanistan into a stable and increasingly self-sufficient future and render it a reliable global partner for ensuring peace and stability in the region and beyond.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_1178-1304,To utilise this opportunity as more than a routine progress assessment requires a fundamental shift of attitude on both sides.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_1305-1483,"Lack of concrete success in the military, economic development and governance efforts in post- Taliban Afghanistan needs to be sincerely examined and adjustments need to be made.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_1487-1631,"There is multitude of examples in the international community's flawed, if not disingenuous, aid programmes and their monitoring in Afghanistan.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_1632-1775,I was hired by a US consultancy firm to map out the field and offer recommendations for the design of a multimillion dollar governance project.,ANECDOTE,ANECDOTE,FACT-TESTIMONY,ANECDOTE
007_1776-1839,"My report and recommendations, it turned out, were too radical.",OTHER-FORM,ANECDOTE,ASSERTION,ANECDOTE
007_1843-1932,"""We expected recommendations for cosmetic changes to the ongoing programmes,"" I was told.",FACT-TESTIMONY,ANECDOTE,FACT-TESTIMONY,FACT-TESTIMONY
007_1933-1984,"""The donor agency does not want to rock the boat.""",FACT-TESTIMONY,ANECDOTE,FACT-TESTIMONY,FACT-TESTIMONY
007_1987-2198,"On another occasion, I was interviewed by a European consultant for his assessment of the first phase of a programme that had consistently been showcased as a ""success story"" by donors and the Afghan government.",ANECDOTE,ANECDOTE,FACT-TESTIMONY,ANECDOTE
007_2202-2341,"In his three-day field trip to Kabul, he had held meetings with three embassies, the UN, the Afghan head of the implementing agency and me.",ASSERTION,ANECDOTE,FACT-TESTIMONY,ANECDOTE
007_2342-2438,"Eagerly, I began to point to the flaws of the programme and offered suggestions for improvement.",ANECDOTE,ANECDOTE,FACT-TESTIMONY,ANECDOTE
007_2439-2481,I also offered assistance for site visits.,ANECDOTE,ANECDOTE,FACT-TESTIMONY,ANECDOTE
007_2485-2557,"""Don't waste your time and mine,"" the septuagenarian consultant told me.",FACT-TESTIMONY,ANECDOTE,FACT-TESTIMONY,FACT-TESTIMONY
007_2558-2630,"""The donor agency expects a rosy report highlighting only the positive.""",FACT-TESTIMONY,ANECDOTE,FACT-TESTIMONY,FACT-TESTIMONY
007_2634-2798,"He further clarified that the decision to fund the second phase had already been made and it had more to do with international aid politics, than development logic.",FACT-TESTIMONY,ANECDOTE,FACT-TESTIMONY,FACT-TESTIMONY
007_2802-2935,"Numbers provide an easy way to illustrate success, especially when seeking international aid budget approval from legislative bodies.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_2936-3139,"While figures indicating Afghanistan's progress towards development are impressive and could not have been achieved without generous international assistance, they conceal a lack of attention to quality.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_3143-3230,About 8 million Afghan children - including over 2.5 million girls - are now in school.,ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
007_3231-3331,This is a figure cited regularly as an indication that the programmes are yielding tangible results.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_3335-3409,The fact that most of them graduate only half-literate is never revealed.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_3412-3531,Here's another feel-good figure: More than 60 percent of the Afghan population now has access to healthcare facilities.,ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
007_3532-3782,"The fact that some of those facilities have only received a checkmark because merely a building was constructed and many are staffed only with a nurse, have no diagnostic technology and have terribly anaemic pharmaceutical offerings is often ignored.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_3786-3965,Much has been written about the fact that a hefty portion of the aid money goes back to donor countries because of the donors' insistence to award contracts to their own citizens.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_3966-4074,The contracts move hand to hand and finally local non-governmental agencies are hired to implement projects.,ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
007_4075-4268,"At this point, while at best one-quarter of the original funds remains to be spent on the actual project, quality is grossly compromised and monitoring becomes either too complex or irrelevant.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_4272-4382,The international community has also created an indigenous vehicle for channelling portions of its assistance.,ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
007_4383-4476,"Under the guise of ""civil society"", hundreds of Afghan NGOs have been established since 2002.",ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
007_4477-4550,This artificial civil society’s lifeline is the donor community in Kabul.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_4551-4768,"Projects and funds are handed to them for implementation and as the closing of fiscal year in donor capitals approaches, generosity in disbursing funds, irrespective of the projects' logic, utility and cost increases.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_4772-4790,Where the funds go,NON-ARGUMENT,NON-ARGUMENT,RH-QUESTION,NON-ARGUMENT
007_4794-4921,"Granted that when international aid began to pour in, the Afghan state had very small, if any, capacity to absorb and spend it.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_4922-5142,"However, after 13 years and millions of dollars spent on public sector capacity building, the bulk of the funds continue to be spent directly by donors and only a little over 20 percent is given to the Afghan government.",ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
007_5146-5279,The parallel system and structures offering higher salaries paid in US dollars have lured much of the skilled Afghan human resources.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_5280-5491,"The Afghan administration, thus, has to be grateful to donors for funding training workshops, while in the end, loses its best trained personnel to international organisations, consulting firms and embassies.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_5496-5615,It is often said that rampant Afghan corruption and lack of capacity would result in misuse and waste of donors' funds.,ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
007_5616-5868,"A mere review of reports published by the US oversight agency, Special Inspector General for Afghanistan Reconstruction (SIGAR), reveals the depth and extent of waste, fraud and abuse of the direct US aid to Afghanistan just in reconstruction projects.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_5869-5973,"Similar monitoring of most donors' direct aid will, no doubt, highlight comparable corruption and waste.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_5977-6088,The government of former President Hamid Karzai admittedly failed to launch a genuine fight against corruption.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_6089-6224,Lack of capacity for a governance vision that would make optimum use of international aid was also a defect of the previous leadership.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_6228-6449,"High-level appointments were based not on competence and commitment of individuals, but rather on political affiliations and compromises on the one hand, and submissiveness of a handful of ""yes sir"" entities on the other.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_6453-6611,"Thus, both sides - donors and the Afghan government - went on for a decade playing a futile blame game, each accusing the other of corruption and insincerity.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_6615-6722,"Now, on the eve of the London Conference, a new page has turned in Afghanistan's leadership and governance.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_6723-6863,The level of optimism among ordinary Afghans is only comparable to the euphoria of the first weeks following the fall of the Taliban regime.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_6864-6955,This renewed domestic hope and confidence in the new leadership must not be let to deflate.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_6959-7098,"Although the new administration has not yet launched its overhauling programme, President Ashraf Ghani's vision and capacity is well known.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_7099-7179,Donors at the London Conference must seize the chance and afford him confidence.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_7180-7285,They must also adapt a fundamentally new approach to dispensing their generous assistance to Afghanistan.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
007_7289-7671,"A significant funnelling of international aid through the Afghan government (with oversight and accountability benchmarks), a shift of emphasis from quantity to quality, with particular focus on raising the quality of education and finally, a sincere commitment from both sides to the establishment of rule of law will ensure the stability and eventual self-reliance of Afghanistan.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_0-177,"After 13 years of the International Security Assistance Force (ISAF), the United States and a number of its NATO partners will start the Resolute Support Mission in Afghanistan.",ASSERTION,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
008_178-290,"The number of NATO and US forces is reduced from 140,000 to 13,500 - most of them American - starting January 1.",FACT-TESTIMONY,ASSERTION,FACT-TESTIMONY,FACT-TESTIMONY
008_294-429,"How will the new national unity government in Kabul weather the NATO drawdown, despite a resilient insurgency and intensified fighting?",RH-QUESTION,RH-QUESTION,RH-QUESTION,RH-QUESTION
008_433-518,There has been much speculation about the security transition in 2014 in Afghanistan.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_519-614,"In 2012, I wrote an Oped for the New York Times, warning that ""Kabul risks political meltdown"".",FACT-TESTIMONY,ANECDOTE,FACT-TESTIMONY,FACT-TESTIMONY
008_615-793,"Many other analysts have also predicted a sombre year, particularly after the refusal of former President Hamid Karzai to sign the Bilateral Security Agreement (BSA) with the US.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_797-990,"However, for the time being, we were all proved wrong as the democratic process that began at the Bonn Conference in 2001, survived, and the country was saved from the brink of a new civil war.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_994-1227,"Indeed we have achieved important strategic gains in the last few months, starting with the landmark peaceful transfer of political power from one democratically elected leader to another, for the first time in Afghanistan's history.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_1228-1424,"This milestone was made possible by the will of ordinary Afghan people, who twice braved the threat of violence imposed by the Taliban and came out en masse, voting for their candidates of choice.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_1428-1501,"Meanwhile, the Taliban has tried hard to undermine the electoral process.",ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
008_1502-1685,"By confronting Afghan security forces in 16 different provinces, they wanted to gain significant territory, thus declaring themselves as an alternative governing force in the country.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_1689-1893,"Nevertheless, the Afghan security forces have been able to hold ground and push back the insurgent offensives in almost all fronts, which has became a source of pride for the Afghan government and people.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_1897-2117,"This proved wrong skeptics who doubted the capacity of the Afghan security forces to defend their country, which has taken responsibility for security in many provinces since the start of the security transition in 2012.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_2121-2328,"Following the inauguration of President Ashraf Ghani and Chief Executive Officer (CEO) Abdullah Abdullah, the BSA was immediately signed, approved by an overwhelming majority of Afghan Members of Parliament.",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
008_2332-2576,"In addition to the BSA, the signing of the Status of Force Agreement (SOFA) between NATO and the new Afghan government has created a new momentum in the country, while ensuring continued military and financial assistance for the new government.",ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
008_2577-2701,"This has inherited an economic crisis, characterised by a fiscal gap resulting from the failures of the previous government.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_2705-2783,Afghanistan's strategic gains are still contingent upon two important factors.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_2784-2861,"Firstly, there must be continued NATO support for the Afghan security forces.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_2862-3050,This is done by building the capacity of the forces; providing adequate resources such as fire power and particularly air power; assisting in intelligence gathering; and logistics support.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_3054-3231,"Without the technical and financial support from the US and NATO countries, the Afghan security forces will not be able to sustain a high rate of casualties against the Taliban.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_3232-3441,"For instance in 2014, an additional 5,000 members of the Afghan security forces were killed either in direct fighting against the Taliban or because of terrorist attacks such as suicide and road side bombings.",ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
008_3445-3635,"Secondly, the government has the capacity to reform the security intuitions in order to reduce the level of corruption and eliminate political influence exercised by important power brokers.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_3636-3775,The financing of the Afghan security forces are beyond the Afghan government's resources and is totally dependent on donors' contribution.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_3778-3848,The government could make significant contributions by reducing costs.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_3852-3924,This could be done through reducing corruption and improving management.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_3925-4114,"Meanwhile, eliminating political influence in appointments of senior officials and promotion of officers could boost the morale of the security forces and increase their fighting capacity.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_4117-4357,"Alas, despite tremendous strategic gains, the new National Unity Afghan government is struggling with key cabinet appointments, particularly in the security sector, which might have been caused by heavy political influence by power brokers.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_4361-4591,"In fact, failures inherited from the previous government such as bad governance, corruption, nepotism and many other symptoms that have caused a growing popular resentment, remain a serious threat to the national unity government.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_4595-4828,"While people admit that improvements in the security and economic sectors require time, they will not tolerate any failure in fixing a dysfunctional government which has failed to address endemic corruption and a culture of impunity.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_4832-4967,"The inability of the new national unity government to implement a comprehensive reform agenda, could undermine the security transition.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_4968-5170,"It is clear to us in Afghanistan that the donor countries will not tolerate anymore corruption and bad governance, which could weaken their financial commitments pledged during the NATO Summit in Wales.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_5174-5325,"Any reduction in funding for the Afghan government could negatively impact the Afghan security forces, while the Taliban will increase their offensive.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_5329-5526,The biggest test for the security transition is ahead of us because the insurgents will further intensify their attacks in the beginning of next spring and we might see a Taliban surge next summer.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
008_5530-5699,"The Afghan government has little time to prepare itself for the upcoming fighting season, which has impacted the US and NATO military missions in Afghanistan since 2001.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_0-96,France's Prime Minister Manuel Valls has said that his country is now at war with radical Islam.,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
009_100-315,"""It is a war against terrorism, against jihadism, against radical Islam, against everything that is aimed at breaking fraternity, freedom, solidarity,"" Valls said during a speech on Saturday in Evry, south of Paris.",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
009_319-343,"What is ""radical Islam""?",RH-QUESTION,RH-QUESTION,RH-QUESTION,RH-QUESTION
009_344-366,Is there such a thing?,RH-QUESTION,RH-QUESTION,RH-QUESTION,RH-QUESTION
009_367-553,And how does this affect the ongoing US-led war on extremism - the most tangible form being ISIL who have controlled large segments of land and people in northern Iraq and eastern Syria?,RH-QUESTION,RH-QUESTION,RH-QUESTION,RH-QUESTION
009_557-623,"Very few people know that in Islam there are two kinds of ""jihad"".",ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
009_624-714,The smaller jihad is the more known - namely the one which reflects the military struggle.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_715-795,"But the greater jihad, which is less known, is the internal jihad - or struggle.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_799-936,"Few people also know that the Arabic word ""jihad"" is used throughout the Bible as well, although certainly not in the militaristic sense.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_937-1039,"2 Timothy 4:7 states: ""I have fought the good fight, I have finished the race, I have kept the faith.""",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
009_1040-1103,"The verse in Arabic uses the term ""jihad"" for the word ""fight"".",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
009_1107-1236,"So whether it is this struggle or the fight for a better world, the militaristic jihad is certainly not a monopoly for Islamists.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_1240-1367,World leaders have correctly pointed out that the fight against ISIL must be waged both on the military and ideological levels.,ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
009_1368-1442,But we must be careful about the idea of conflating Islam with radicalism.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_1443-1617,People and ideas might be radical but to target a religion with radicalism adds insult to injury and shifts from the proper focus which is the individually created extremism.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_1621-1746,"We have heard and seen a lot of the former, but very little has been done to tackle the ideologies behind this extreme group.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_1750-1971,The need to deal with the extreme thoughts connected to this movement was made clear by extremists who carried out the heinous attack against a French satirical newspaper; most likely because of the ideas it has espoused.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_1975-2089,"Whenever violent acts take place, the natural response is to militarily obliterate the group or militia behind it.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_2090-2259,There might be a good case for a military response but it would be a totally counterproductive effort if it is not accompanied by an equally strong ideological response.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_2263-2387,It might be possible to kill the holders of some of these ideas but everyone knows that you can't kill ideas by using force.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_2388-2443,Extremist ideology must be tackled in a number of ways.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_2447-2626,The most important ideological response to extremism is the need to show that there are better and more effective ways to deal with the various issues that make extremism popular.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_2627-2773,This includes the need to introduce real political reform in the countries that are of importance to the people that follow these extreme leaders.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_2777-2921,It applies both to the Arab countries whose autocratic leadership has left a large sector of the public without any say in what happens to them.,ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
009_2922-3094,But it also applies to the need to continue stemming racism and Islamophobia from many of the western countries where some homegrown terrorism seems to be gaining strength.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_3098-3240,"The issue is complicated by murderous acts like those committed in Paris, which tend to increase rather than decrease anti-Islamic sentiments.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_3244-3418,"In addition to political changes that must be introduced, Arab and Muslim intellectuals and leaders must end their self-imposed silence and speak out clearly and unabashedly.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_3419-3510,There is no reason to keep repeating that these actions are not a reflection of true Islam.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_3511-3650,What is needed is for writers and thinkers to produce concrete and practical thoughts and ideas that can be applicable to the 21st century.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_3654-3895,Today's Arab and Muslim youth need to find alternative role models and alternative ideas that they can adopt in this struggle of ideas that extremists are working tirelessly to defend - and to which the other side is only paying lip service.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_3899-4200,"One successful idea called takween (seen on the local Jordanian website, ammannet.net) has seen an increase in audience as reformed independent writers from various backgrounds (culture, media, women's issues and workers rights) are producing daily analysis that is the anti-thesis to ISIL's ideology.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_4204-4295,The individual efforts by some intellectuals is to be supported but much more is necessary.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
009_4296-4566,"The anti-extremism military effort can't yield positive results if there isn't a combined change in how ruling governments conduct their affairs (especially on the economic empowerment front), and how to tackle every one of the extremists' thoughts, ideas and practices.",ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
009_4570-4739,"The battle will be long and cumbersome but in order to win, all people of good will must work together to produce what is good and uplifting for a better future for all.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
010_0-221,"On Monday afternoon, Senator Dianne Feinstein released a letter to Barack Obama, suggesting a series of reforms “to make sure that the United States never again engages in actions that you have acknowledged were torture”.",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
010_225-411,"A month after her office released the landmark (but still heavily redacted) Senate torture report, Feinstein is now calling for legislation to strengthen the prohibition against torture.",ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
010_412-493,"This is a laudable and necessary step, but torture has been a felony for decades.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
010_494-559,"So have war crimes, lying to Congress and obstruction of justice.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
010_560-677,The fundamental problem is that the US government has been unable or unwilling to enforce those laws against the CIA.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
010_678-821,"If reform does not confront the reasons for that failure, it may not deter the United States from engaging in torture under a future president.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
010_825-968,"To the extent that federal prosecutors have simply lacked the political will to investigate the CIA, there’s not much Congress can do about it.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
010_969-1124,"But legislation could address many of the other factors that allowed the CIA to torture prisoners, destroy evidence and lie to investigators with impunity.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
010_1125-1389,"There is the CIA’s reliance on secret “torture memos” written by the Office of Legal Counsel – which exploited some weaknesses in the legal definition of torture, but depended far more heavily on absurd legal arguments and false representations of fact by the CIA.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
010_1390-1479,There’s the unethical role of CIA doctors and psychologists in monitoring interrogations.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
010_1480-1577,"And above all, there remains the CIA’s ability to keep all the evidence of its crimes classified.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
010_1581-1941,"The only explanation the justice department has ever provided for the failure to indict a single CIA officer for torture, war crimes, homicide, destruction of evidence or any of the other crimes the Senate report documents is a bland statement that “the admissible evidence would not be sufficient to obtain and sustain a conviction beyond a reasonable doubt”.",FACT-TESTIMONY,ASSERTION,ASSERTION,ASSERTION
010_1942-2127,"The justice department refuses to answer questions about the role played by top-secret classification in that decision, or disclose any of the records from the criminal investigations.",ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
010_2130-2446,"But we do know that until the Senate report was released, the Obama administration took the position that every detail of an individual detainee’s torture in CIA custody was top secret – including former CIA prisoners’ memories of their own treatment, the locations of black sites and the names of all the witnesses.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
010_2447-2642,"We know the CIA redacted from the report not only the names but even the pseudonyms of nearly every CIA officer and contractor involved in the program, and every country that hosted a black site.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
010_2643-2761,And we know that every last civil suit brought by CIA torture victims has been dismissed on national security grounds.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
010_2762-2949,So it’s difficult to imagine how a prosecutor could have made a torture case against the CIA without disclosing this evidence – and even harder to imagine the agency allowing its release.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
010_2953-3212,"In theory, Obama’s December 2009 executive order on national security classification should prevent the CIA from using secrecy to place itself beyond the rule of law, since the order specifically forbids classifying information to “conceal violations of law”.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
010_3213-3278,"In practice, though, the prohibition is virtually never enforced.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
010_3279-3476,The Obama administration – like the Bush administration before it – takes the position that the CIA’s criminal actions can be legitimately classified if they are “intelligence sources and methods”.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
010_3477-3613,"And neither Congress, nor the president, nor the courts have imposed any legal limit on what counts as an intelligence source or method.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
010_3613-3718,"In practice, the phrase has come to mean “anything the intelligence community doesn’t want you to know.”",ASSERTION,ASSERTION,ASSERTION,ASSERTION
010_3719-3884,"Congress needs to write a legal definition of “intelligence sources and methods” that imposes real limits, and makes clear that it excludes torture and other crimes.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
010_3888-4103,"Feinstein and her staff deserve tremendous credit for finally breaking through the wall of secrecy that the CIA built around its torture program, in the face of fierce opposition from the agency and the White House.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
